Wrong,Correct
Ola Share##PPL,Ola Share##COM
Bengaluru##PPL,Bengaluru##COM
Ola Pool##PPL,Ola Pool##COM
Ola##PPL,Ola##COM
Uber Bengaluru##PPL,Uber Bengaluru##COM
Didi Dache##PPL,Didi Dache##COM
Didi Kuaidi##PPL,Didi Kuaidi##COM
Magic Leap##PPL,Magic Leap##COM
Didi Chuxing##PPL,Didi Chuxing##COM
Alibaba Group##PPL,Alibaba Group##COM
Southeast Asia##PPL,Southeast Asia##GPL
San Francisco##PPL,San Francisco##GPL
Seattle##COM,Seattle##GPL
Federal Communications Commission##COM,Federal Communications Commission##GPL
FCC##COM,FCC##GPL
Federal Communications##COM,Federal Communications##GPL